"","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10","Topic11","Topic12"
"52","ministerpraesident","erreger","persoenliche","krankenhaus","stimmzettel","prozent","googlesuche","patienten","anwendung","stream","gesetzentwurf","intensivstationen"
"53","medien","person","ueberschrift","festgenommen","protest","seit","erfunden","behauptungen","untersucht","ukrainer","regelung","liegen"
"54","jusos","anteil","meldung","schule","hand","pflanzen","minute","cdc","co","gebaeude","deutschen","angaben"
"55","stadt","kochinstitut","annalena","gab","demonstranten","wetterkarten","rothschild","frauen","schreibt","april","union","diesel"
"56","coronaregeln","uebertragung","wdr","nachfrage","verbreiteten","windraeder","stiftung","geimpfte","nase","behauptung","kommission","cent"
"57","bayerischen","video","verbreitet","jaehriger","demonstrationen","mensch","spricht","nebenwirkung","bfarm","fahrzeuge","aenderung","jahren"
"58","quarantaene","positiven","wer","bekannt","zahlreiche","hektar","politik","usa","mundnasenschutz","zivilisten","entscheidung","land"
"59","lockdowns","impfung","vermeintliche","laut","bildern","cokonzentration","george","of","kindern","flugzeug","wolle","durchschnitt"
"60","sebastian","massnahmen","steht","pressestelle","kamera","treibhausgase","text","dosis","expertinnen","regierung","person","bericht"
"61","oesterreichs","falsch","karl","beamten","kontext","anlagen","gruenen","schweren","sarscov","russisch","gilt","eautos"
"62","sagte","infizierte","text","familie","ort","wald","reuters","arzneimittelagentur","medizinprodukte","vereinten","bundestags","kliniken"
"63","politiker","vollstaendig","enthaelt","migranten","dezember","winter","scholz","impfdosen","beim","februar","geht","tabelle"
"64","ministerpraesidenten","vorerkrankungen","facebookseiten","eltern","tun","eis","goeringeckardt","verabreicht","protein","krieges","correctiv","weltweit"
"65","muessen","bevoelkerung","follower","tatverdaechtige","coronamassnahmen","weniger","weltwirtschaftsforum","dezember","behauptungen","explosion","paragraf","einwohner"
"66","links","sei","tweets","hamburg","paris","vergangenen","angeblichen","mrnaimpfstoffe","test","nationen","fdp","seite"
"67","treffen","todesursache","echten","gegeben","hintergrund","dwd","sagt","seien","lebensmittel","katar","staaten","preis"
"68","schweiz","minute","link","zwei","sendung","artikel","angebliches","gemeldet","vitamin","ukrainischer","sollen","entspricht"
"69","erlaubt","covidpatienten","plakate","berichtet","stadt","sei","leyen","schwangere","mrna","moskau","wer","milliarden"
"70","bayerische","nachgewiesen","offizielle","zeitung","franzoesischen","natuerliche","is","impfschaeden","bundesinstitut","rakete","gesetzes","verhaeltnis"
"71","kinder","variante","adresse","august","macron","experten","sprach","erklaerte","fuehren","telegram","regelungen","preise"
"72","covid","sterben","emailadresse","gekommen","niederlanden","forscher","kanzlerin","arzneimittel","tiere","bundeswehr","dalai","je"
"73","einschraenkungen","ansteckend","aktion","falschmeldung","wahlbetrug","climate","nie","wurden","mundschutz","finden","koennten","etwa"
"74","orf","erkrankungen","findet","anschlag","verbreitete","umwelt","pressekonferenz","faellen","dr","faktenchecks","millionen","letzten"
"75","april","virologe","warnen","vergewaltigung","polizisten","baeume","frei","schwangeren","erklaert","militaerische","absatz","pdf"
"76","getestet","positive","verkauft","veroeffentlichte","stimmen","mehr","englisch","gemeldeten","fluorid","china","impfpflicht","gab"
"77","geltenden","pcr","lesen","sprecher","fuehrte","global","quelle","schwangerschaft","labor","international","migranten","batterie"
"78","genesen","infizieren","dubiosen","getoetet","traegt","braende","gesellschaft","and","insekten","sanktionen","sollten","studie"
"79","eindaemmung","nachweis","polizei","bka","handelt","meteorologie","soros","covidimpfstoffen","email","ueberblick","darf","platz"
"80","darf","impfquote","sehen","verurteilt","gezeigten","anstieg","york","behandlung","gesundheitliche","nato","parteien","berechnungen"
"81","dezember","erkranken","genutzte","truth","bereits","hitze","gruenenpolitikerin","menschen","verwendet","flughafen","wahl","erfasst"
"82","meduni","wissenschaftler","verwendet","juli","sahen","chemikalien","uspraesidenten","impfkampagne","arzneimittel","mariupol","geregelt","krankenhaeusern"
"83","pflicht","viruslast","account","vater","rechts","wissenschaftlichen","sendung","health","zelle","ap","entscheidungen","adac"
"84","veranstaltungen","seien","stand","sexuelle","jahr","wissenschaftliche","autor","impfstoffes","experiment","aufgenommen","heisst","angegeben"
"85","fakten","fallzahlen","schild","frankfurt","regierung","antarktis","kontext","erhalten","gesichtsmasken","twitter","verbot","oesterreich"
"86","dpafaktencheckteam","impfdurchbrueche","offenbar","pressesprecher","greta","wetterdienst","trumps","risiken","schuetzen","polnischen","frage","gestorben"
"87","bundeskanzler","nachweisen","erfunden","staatsbuerger","wahl","august","saetze","wirksam","forscher","hauptstadt","ausland","gesunken"
"88","faktencheckdpacom","krankenhaus","kampagne","tod","damals","konsens","snopes","reaktionen","dguv","brand","lama","rueckgang"
"89","gmbh","wahrscheinlichkeit","serioes","zug","hochgeladen","erklaerte","to","auftreten","forschung","nord","tuerkei","pandemie"
"90","corona","covidfaelle","angebot","stuttgart","collage","gemessen","ehemaligen","impfreaktionen","wasser","wurde","finanzielle","angabe"
"91","ausgangssperre","ausbreitung","eigene","afd","szenen","flaeche","partei","vaers","sauerstoffmangel","syrien","gelten","woche"
"92","sowie","ungeimpft","googlesuche","jugendliche","italien","rund","deutschen","israel","gegenueber","einkaufszentrum","dokument","bezieht"
"93","ausgesprochen","varianten","gewinnspiele","telefon","italienischen","veraenderungen","findet","klinische","opmasken","staaten","ab","todesfaellen"
"94","postings","antikoerper","unserioes","migrationshintergrund","frankreich","erwaermt","deutsch","covidimpfstoff","proben","angriffskrieg","lage","vergleichen"
"95","kraft","coronatoten","gewinnspielangeboten","gericht","film","windenergie","heute","paulehrlichinstituts","ausloesen","donezk","solle","schaetzungen"
"96","gesundheitsminister","immunitaet","netz","mutmasslichen","manipuliert","jahrzehnten","aeusserungen","antikoerper","gehirn","hilfe","fluechtlingen","stark"
"97","quellen","wieler","nutzerinnen","brief","ausschnitt","schnee","sharepic","sicherheitsbericht","ergebnis","maenner","anfrage","ergibt"
"98","verboten","uebertragen","internet","halle","stammen","deutlich","great","mrnaimpfstoffen","wissenschaftliche","google","land","jahres"
"99","bzw","weltweit","weiterzugeben","gestorben","gebaeude","methan","kennedy","seltene","probe","unterstuetzung","email","bevoelkerung"
"100","ab","ansteckung","weissen","jugendlichen","fotografen","vulkane","papst","zahlen","genetische","berichtete","bund","gesamtzahl"
"101","rackete","robertkochinstituts","sonstige","herkunft","angeblich","farben","leben","kinder","gelangen","botschaft","vertrag","krankenhaus"
"102","ungeimpfte","gestorben","suche","deutsche","beschreibung","menschliche","hitler","berichte","belege","wurden","eukommission","gemeldeten"
"103","zufolge","risiko","erkennt","polizeisprecher","demo","professor","washington","gestorben","einnahme","verteidigungsministerium","antwort","schaetzung"
"104","aufgrund","schwere","gewerblich","auslaender","tag","rot","englischen","thrombosen","untersuchung","telegramkanal","bundestages","durchschnittlich"
"105","graz","coronapandemie","musk","text","tweet","arktis","heiko","impfdosis","ethylenoxid","putins","infektionsschutzgesetzes","divi"
"106","sprach","coronainfektion","immer","klinik","berichteten","fossiler","robert","bericht","produkte","kleidung","ausgaben","sterbefaelle"
"107","gaeste","wuhan","artikels","spaeter","beiden","trockenheit","volk","moegliche","institut","cover","steht","produktion"
"108","ua","behauptungen","davor","kriminalitaet","ausserdem","waldbraende","kursiert","eu","bestandteile","polnische","moeglich","million"
"109","neustadt","erkrankten","falschen","blog","bildes","millionen","nuernberger","dosen","krankheiten","selenskyjs","rentenversicherung","hohen"
"110","rund","testen","darauf","schrieb","le","energiewende","geschrieben","tod","konzentration","belarus","deutschlands","quelle"
"111","beim","symptomen","google","rheinlandpfalz","september","ursache","geschichte","vaccine","aerosole","seien","projekt","wochen"
"112","letzten","zahl","ostertag","feuerwehr","zeige","feuer","damals","polio","zugelassen","region","erklaerte","bundesregierung"
"113","beschlossen","christian","postadresse","strasse","uhr","wissenschaft","aeusserung","untersucht","mns","europa","unterstuetzung","hoch"
"114","angela","aussage","blauem","ort","mal","frueher","internet","worden","wissenschaftlich","sozialen","unterbringung","batterien"
"115","arbeitsplatz","coronafaelle","kontaktmoeglichkeiten","abend","oktober","vergleich","mutter","ereignisse","verursachen","ungarn","kommen","tote"
"116","kretschmer","beginn","sozialen","gruppe","sieht","bericht","fauci","universitaet","partikel","behauptungen","bundesministerium","schnitt"
"117","landesregierung","gesundheitsbehoerde","missbraeuchlich","landkreis","fotograf","natur","gibt","medikamente","mundnasenbedeckung","klitschko","verboten","irrefuehrend"
"118","apaanfrage","labor","schreiben","zustaendige","teilten","kohle","titel","sicher","chlordioxid","al","verfuegung","hoehere"
"119","strache","isoliert","medien","konnte","aktuellen","erneuerbaren","mal","who","troepfchen","russen","hartz","steigt"
"120","hygiene","forscher","zeitung","mutter","arm","folgen","familie","arzneimittelbehoerde","autoren","ausruestung","abgeordnete","vergangenen"
"121","unternehmen","omikronvariante","zeichen","meldung","tatsaechlich","etwa","treffer","medicine","behandlung","militaer","buergerinnen","hoeheren"
"122","eingehalten","experten","aufschrift","sonntag","behauptung","archiviert","thema","verursacht","auswirkungen","konflikt","verpflichtet","steigen"
"123","auflagen","verlaeufe","oft","screenshot","erklaerte","gegenueber","gespraech","medikament","inhaltsstoffe","strasse","neue","fuenf"
"124","ausbreitung","verstorbenen","faelschungen","wurden","berlin","vulkan","ehemalige","aerzte","substanzen","entstanden","rede","benzin"
"125","mussten","viele","gesetz","messer","posting","institut","jahren","kindern","untersuchungen","sagte","entwurf","sterblichkeit"
"126","laendern","schreibt","kommentar","polizist","allerdings","voegel","verbreitet","bereits","minuten","mehrere","mitglieder","april"
"127","kunden","proben","gewinnen","einsatz","linken","weltweit","interviews","personen","maskenpflicht","erkennen","mittel","niedriger"
"128","beschluss","ergebnis","haekchen","berichteten","de","kondensstreifen","praesident","stiko","atmen","chinesischen","beschluss","bild"
"129","soeders","neuartige","manipuliert","koerperverletzung","rechten","menschengemachte","kritik","coronaimpfstoff","lunge","einmarsch","soziales","starben"
"130","november","omikron","presseagentur","angaben","vermeintlich","zeigen","for","europaeischen","immunsystem","prorussische","foerderung","acht"
"131","bundesregierung","kochinstituts","fall","drei","logo","meter","politikerin","seltenen","einsatz","propaganda","sogenannten","korrekt"
"132","metern","wochenbericht","profil","deutscher","steht","hochwasser","ursula","mrnaimpfungen","graphen","militaerischen","neuen","dollar"
"133","anfang","virologie","antifa","angegriffen","franzoesisch","hitzewellen","claudia","zeitlichen","antigentests","kabul","gesetzlichen","alter"
"134","tagesschau","control","datum","zuwanderer","afpanfrage","klimaforscher","dollar","mrna","herstellung","kiewer","vorschlag","grippewelle"
"135","karl","weniger","euro","ueberschrift","instagram","treibhauseffekt","fakten","telegram","unwahrscheinlich","laendern","rahmen","bundesamtes"
"136","pressekonferenz","health","kursiert","kam","spanien","waermer","land","symptome","trinkwasser","schiff","nordrheinwestfalen","seien"
"137","verhaengt","aerzte","gibt","nordrheinwestfalen","sekunden","auswirkungen","version","krankheit","getragen","bildern","spahn","jaehrlich"
"138","anfrage","inzidenz","nachtraeglich","tag","screenshot","zeitraum","politische","fieber","stunden","kursieren","zahlungen","hohe"
"139","csu","ctwert","edeka","leipzig","facebookuser","immer","sprache","pfizerbiontech","medizin","ankunft","rentner","beruecksichtigt"
"140","einrichtungen","virologen","angegeben","anzeige","nachrichtenagentur","gletscher","foundation","aufgetreten","gibt","berichte","unterkunft","statistisch"
"141","innsbruck","schutzwirkung","kaufland","menschen","bauern","temperaturanstieg","name","zahl","professor","bericht","mehr","statistiken"
"142","tagen","influenzaviren","twitteraccount","faellen","veranstaltung","leistung","news","video","gesundheitlichen","netzwerken","koenne","sterbefallzahlen"
"143","fpoe","laendern","inhalt","verdaechtigen","juni","verursachten","bewertung","journal","schrieb","prorussischen","richtig","faktoren"
"144","informationen","getesteten","bilderrueckwaertssuche","saechsischen","ende","landwirtschaft","verschwoerungstheorien","komplikationen","eingesetzt","lkw","gerichtshof","quote"
"145","ibuprofen","neuartigen","muessen","behauptet","mehrere","studien","vermeintlichen","schmerzen","sagt","angriffs","falsch","europa"
"146","standard","kontakt","anton","behoerden","kundgebung","infraschall","john","mrnaimpfung","desinfektionsmittel","internationale","unternehmen","meisten"
"147","sahin","ausbruch","geprueft","fand","gezeigt","jahrhunderts","schmidt","haetten","pufferloesung","berichten","linke","stimmen"
"148","ausnahmen","israel","wort","leben","verwendet","eisbaeren","original","millionen","mund","feuer","abkommen","gemeldet"
"149","bundesland","behauptung","erschienen","floyd","platz","tagesschau","weltwirtschaftsforums","empfohlen","mundnasenschutzes","ukrainekrieg","gericht","maerz"
"150","oktober","universitaet","weder","sagte","suche","forschung","vergangenheit","immunantwort","schaeden","toten","moeglichkeit","jaehrigen"
"151","grundversorgung","irrefuehrend","eingerichtet","zustaendigen","berichtete","messungen","jahre","mrnaimpfstoff","sauerstoff","verlassen","regeln","jedoch"
"152","presseagentur","aussagen","frei","haft","wahlurne","australien","usamerikanischen","grossbritannien","pneumologie","kilometer","kuenftig","verzeichnet"
"153","uhr","impfschutz","url","berichtete","gefilmt","haeufiger","mund","hersteller","zudem","verteidigungsministeriums","plaene","vergleichbar"
"154","woche","falschpositive","lauterbachs","taten","facebookseite","brennstoffe","uebersetzung","erkrankung","dadurch","landes","laendern","strom"
"155","ages","faellen","aushang","wohnung","demonstrierenden","menschengemacht","amerikanischen","dokument","atmung","belege","kommunen","zeigt"
"156","reisen","verlauf","echtheit","telefonisch","senders","ausstoss","fischer","coviderkrankung","gebe","bord","schutz","hoechsten"
"157","impfung","auftreten","berliner","nationalitaet","ueberein","klimakrise","politikern","schwerwiegende","dellweg","griechenland","personen","vergleicht"
"158","entscheidung","frage","lidl","hamburger","sekunde","treibhausgasemissionen","vereinigten","impfkommission","unbedenklich","bahnhof","nationaler","auswertung"
"159","gesundheitsministerium","ecdc","erst","kindes","beschreibt","treibhausgasen","europa","untersuchungen","stoffmasken","raketen","infektionsschutzgesetz","kilogramm"
"160","weiterhin","lancet","name","taeters","sender","weltklimarat","islam","unerwuenschte","koerpers","seit","verfassung","aussage"
"161","coronakrise","institut","werbung","medienberichten","tiktok","weizen","staaten","arzneimitteln","erlaeutert","aufnahme","vorschriften","knapp"
"162","tage","impfdurchbruechen","nachricht","handelte","englisch","effekt","reden","gemeldete","geeignet","beschuss","richter","fast"
"163","impfpass","autoren","accounts","september","youtubevideo","himmel","michael","coronavirus","produzieren","krim","bundestagswahl","stammen"
"164","besuch","intensivstationen","echte","dresden","italienische","verbrennung","buecher","einstichstelle","empfehlungen","berichteten","muessten","lagen"
"165","pressesprecher","erklaert","angebliches","vorfaelle","boden","klimas","forderung","krankheiten","produkt","haetten","sprecherin","usdollar"
"166","alleine","gesundheit","kleinen","mannes","bildunterschrift","research","spd","europaeische","geraet","grenzen","tragweite","sharepic"
"167","nehammer","schuetzt","erkennbar","bundespolizei","gepostet","trend","zitiert","behoerde","deutschen","getoetet","familien","haelfte"
"168","mindestabstand","mensch","forderung","offenbar","namen","duerre","lindner","koerper","correctiv","tuerkei","einfuehrung","facebookbeitrag"
"169","restaurant","disease","merz","gemeldet","maps","bau","taucht","auffrischungsimpfungen","fasern","osten","jahr","geschlossen"
"170","raum","coviderkrankung","website","beitrag","aufschrift","oel","orwell","stoecker","weder","mann","resolution","zufolge"
"171","gregel","covidtodesfaelle","screenshots","thueringen","dutzende","verantwortlich","uebersetzt","report","ernaehrung","explosionen","bundes","steuern"
"172","kickl","schuetzen","schon","badenwuerttemberg","veroeffentlichte","seien","verbrechen","nutzen","hergestellt","litauen","verabschiedet","dezember"
"173","ausgangsbeschraenkungen","hoeher","netzwerken","frauen","perspektive","verursachte","that","fall","uebertragen","weitere","bank","todesursachen"
"174","geschaeften","sagt","kommentieren","bestaetigen","verbreitet","tiere","antwort","patientinnen","becksickinger","beginn","iv","absoluten"
"175","testungen","koennten","original","koeln","hoeren","klimaerwaermung","blog","expertinnen","dgp","frauen","rechtlich","verbrauch"
"176","medizinischen","erkrankt","veroeffentlicht","januar","niederlaendischen","starkregen","gericht","fehlgeburt","produziert","angriffe","bekaempfung","tatsaechlich"
"177","innenministerium","labore","gmbh","demonstrationen","einsatz","aktuellen","wortlaut","immunsystems","qualitaet","eu","monat","waeren"
"178","bundeslaendern","bisher","layout","mord","version","erneuerbare","eugen","selten","nutzen","charkiw","aufgaben","quartal"
"179","orfartikel","charité","haken","straftat","zehntausende","kohlenstoffdioxid","antwortet","arzt","vermehren","zufolge","betroffene","altersgruppen"
"180","aufgenommen","zahlen","fehlt","nachgefragt","la","aktuelle","milliarden","erkrankungen","sogar","angeblichen","regelt","vorjahren"
"181","bestaetigte","affenpocken","faktenchecker","gefunden","teilen","menschlichen","spiegel","ursaechlichen","gewebe","israel","sprecher","stieg"
"182","twitter","spezifitaet","teilen","asylbewerber","konnte","damals","nachrichtenagentur","moeglichen","entstehen","richtung","stellen","kosten"
"183","flyer","jaehrigen","inhalte","bestaetigte","franzoesische","deutschland","davos","experten","forschenden","flagge","grundsaetzlich","umfrage"
"184","geoeffnet","denen","beitraege","verstorben","netzwerken","klimaschutz","pfizer","artikel","enthalte","aussenminister","bmas","drittel"
"185","uni","erkenntnisse","facebookpost","insgesamt","nadel","brandstiftung","ziel","sechs","mikroskop","schiffe","bundeslaender","blick"
"186","gastronomie","entwickelt","geteilt","thueringer","kurz","juli","tun","muttermilch","material","transportiert","menschen","ersten"
"187","bayerns","wurden","webseiten","sexuellen","gezeigte","jahrhundert","reset","probanden","hinweise","veroeffentlichte","wahlen","bundeslaendern"
"188","lassen","untersuchung","hinweise","schwer","cnn","meereis","links","corona","enthaelt","un","amt","angegebenen"
"189","niederoesterreich","interview","gewinnspielen","mitteilung","zdf","windraedern","zitaten","hinweise","bestandteil","reuters","entscheiden","beispiel"
"190","oeffnen","wissenschaftlichen","geschrieben","bundeskriminalamt","hauptstadt","tanks","immer","kausalen","haften","august","einkommen","seit"
"191","liste","verbreitung","anerkannt","vermisst","gesicht","change","diskussion","disease","videos","medienberichten","mitgliedsstaaten","euromomo"
"192","teilte","usa","schriftzug","kriminalstatistik","person","verursachen","falsch","bridle","ffp","maps","betrag","niveau"
"193","abstandsregeln","bedeutet","aldi","news","gedreht","produziert","gedicht","myokarditis","durchgefuehrt","sowjetunion","wohnung","januar"
"194","coronaverordnung","gemeldet","klickt","verletzungen","mannes","darstellung","cdu","usgesundheitsbehoerde","traeger","luhansk","umsetzung","laesst"
"195","schueler","grippeimpfung","verbraucherschuetzer","leaks","beweis","gestiegen","bezeichnet","coronaimpfstoffen","patienten","pipeline","entschieden","schreibt"
"196","verpflichtend","coronainfektionen","fuehrt","starb","website","cogehalt","lambrecht","unerwuenschten","gefunden","uebung","europa","wurden"
"197","einkaufen","hohe","bilder","mutmasslich","laschet","ueberschwemmungen","stammen","medikamenten","krebszellen","flucht","meinung","stand"
"198","app","monaten","firma","samstag","ecke","welt","werk","behauptung","gesunde","aussenministerium","wohnungen","liege"
"199","neue","england","verifikationsabzeichen","hinweise","echt","zurueckzufuehren","liste","indien","webseite","fahrzeug","vorgesehen","sogar"
"200","verkehrsmitteln","testergebnisse","mal","angriffe","berichtet","je","damaligen","comirnaty","risiko","verbreitet","gezahlt","umgerechnet"
